Run,Counts,RunLength_minutes,nA,Angle
387,275475,60.25,22.86099585062241,10
388,273737,60.05,22.792422980849288,10
389,255385,60.1,21.246672212978368,10
390,250971,60.78333333333333,20.6447216890595,10
391,249619,60.81666666666667,20.522252671964917,10
392,236779,60.016666666666666,19.72610386003888,10
393,60617,15.266666666666667,19.85272925764192,10
394,1040,20.1,0.25870646766169153,7
395,1031,62.13333333333333,0.0829667381974249,7
396,43,60.5,0.003553719008264463,7
397,1045,60.28333333333333,0.08667403925905447,7
398,1235,60.13333333333333,0.10268847006651885,7
399,4306,30.133333333333333,0.7144911504424779,7
404,46000,10.1,22.772277227722775,40
405,22612,4.95,22.84040404040404,40
408,126683,27.166666666666668,23.315889570552148,40
409,274802,60.46666666666667,22.723428886438807,40
410,271733,60.21666666666667,22.56293938555217,40
411,269799,62.5,21.58392,40
412,263452,61.05,21.576740376740375,40
413,299416,68.26666666666667,21.9298828125,40
414,128143,30.533333333333335,20.984115720524017,40
415,246081,53.1,23.171468926553676,35
416,305244,61.88333333333333,24.662860220845676,35
417,310950,60.95,25.50861361771944,35
418,334241,65.28333333333333,25.59925963747766,35
419,149344,30.016666666666666,24.87684619655747,35
420,297517,60.55,24.56787778695293,25
421,270482,60.31666666666667,22.421829234595187,25
422,309801,60.06666666666667,25.788096559378467,25
423,170277,34.96666666666667,24.348474737845564,25
424,253825,60.31666666666667,21.041033434650455,25
425,60445,14.166666666666666,21.333529411764705,25
426,132904,32.93333333333333,20.17773279352227,10
427,3,6.933333333333334,0.002163461538461538,7
428,756,21.016666666666666,0.1798572561459159,7
429,1074,34.43333333333333,0.15595353339787027,7
430,3,5.583333333333333,0.0026865671641791043,7
431,36,62.95,0.002859412231930103,7
432,797,19.4,0.20541237113402064,7
433,943,60.166666666666664,0.07836565096952909,7
434,7704,60.166666666666664,0.6402216066481994,7
435,1286,8.833333333333334,0.7279245283018868,7
436,36,59.75,0.00301255230125523,7
437,38,61.75,0.003076923076923077,7
438,34,57.45,0.0029590948651000864,7
439,379,60.233333333333334,0.03146098505810736,7
440,211,60.18333333333333,0.01752977014677375,7
441,41963,10.966666666666667,19.13206686930091,10
442,235202,60.25,19.518838174273856,10
444,242441,60.03333333333333,20.192198778456415,10
445,244385,60.13333333333333,20.320260532150776,10
446,284537,63.8,22.29913793103448,10
447,253264,60.083333333333336,21.07606102635229,10
450,285471,66.6,21.431756756756762,15
451,277878,60.03333333333333,23.143642420877292,15
452,177764,34.6,25.68843930635838,15
453,176296,34.983333333333334,25.19714149595045,15
454,314771,60.0,26.230916666666666,15
457,250406,60.03333333333333,20.855580233203778,15
458,54158,15.366666666666667,17.621908893709325,12
459,216538,60.06666666666667,18.02480577136515,12
460,212703,60.36666666666667,17.617586968525675,12
461,251128,62.916666666666664,19.957192052980133,12
462,246786,60.016666666666666,20.55978894751458,12
463,239174,60.06666666666667,19.90904550499445,12
464,97724,23.566666666666666,20.733521923620934,12
465,894,61.483333333333334,0.07270262943887232,7
